  gen    gen_best_fitness       variable0       variable1
  167             0.99028       -2.66567        1.65606
  168             0.99028       -2.66567        1.65606
  169             0.99028       -1.98664        2.42666
  170             0.99028       -2.48370        1.92133
  171             0.99028       -2.48370        1.92133
  172             0.99028       -3.08507        0.57891
  173             0.99028       -2.80374        1.40993
  174             0.99028       -3.11967        0.34569
  175             0.99028       -3.08661        0.57896
  176             0.99028       -3.08189        0.57896
  177             0.99028       -3.08530        0.58978
  178             0.99020       -2.72021        1.58354
  179             0.99028       -2.66294        1.65785
  180             0.99028       -2.66294        1.65785
  181             0.99024       -3.10780        0.48516
  182             0.99028       -2.62142        1.72316
  183             0.99028       -2.68540        1.62022
  184             0.99028       -2.71114        1.57744
  185             0.99534       -0.04823        0.04837
  186             0.99028       -2.66705        1.65002
  187             0.99028       -2.66705        1.65632
  188             0.99028       -3.08850        0.56175
  189             0.99022       -2.89550        1.23084
  190             0.99028       -3.06297        0.68199
  191             0.99028       -3.08519        0.57532
  192             0.99028       -3.08519        0.57532
  193             0.99028       -3.08519        0.57551
  194             0.99028       -3.08529        0.57551
  195             0.99028       -3.08481        0.57532
  196             0.99028       -2.85447        1.30368
  197             0.99028       -2.85447        1.30521
  198             0.99028       -3.08481        0.57532
  199             0.99028       -3.08478        0.57532

the best
   70             0.99792       -0.01916        0.04132
